Product_Name,Category,Price,Review_Rating,Review_Text,Sentiment
Gaming Console,Books,281,1.3,Excellent performance and fast processing speed.,Negative
Laptop,Books,1094,4.3,Amazing sound quality! Highly recommended.,Positive
Laptop,Computers,1347,2.1,"Comfortable to hold, great for long reading sessions.",Negative
Smartwatch,Electronics,88,3.1,"Motivating fitness insights, very useful!",Positive
Laptop,Computers,1407,1.3,Stylish and durable but lacks some features.,Negative
Fitness Tracker,Electronics,557,4.0,Amazing sound quality! Highly recommended.,Positive
Bluetooth Speaker,Photography,721,1.4,"Great gaming experience, worth the price.",Negative
Tablet,Gaming,149,3.2,High-quality images but expensive.,Positive
Smartwatch,Photography,1494,3.7,Perfect for reading and entertainment.,Positive
Smartphone,Gaming,1278,3.3,Excellent performance and fast processing speed.,Positive
Smartwatch,Electronics,878,4.0,"Motivating fitness insights, very useful!",Positive
Smartwatch,Wearables,814,4.7,Amazing sound quality! Highly recommended.,Positive
Digital Camera,Wearables,454,4.2,"Great gaming experience, worth the price.",Positive
Fitness Tracker,Wearables,436,3.7,"Comfortable to hold, great for long reading sessions.",Positive
E-Book Reader,Electronics,415,2.4,Amazing sound quality! Highly recommended.,Negative
Smartphone,Electronics,1103,1.5,Good bass but connectivity issues at times.,Negative
Wireless Headphones,Electronics,902,1.1,"Comfortable to hold, great for long reading sessions.",Negative
Gaming Console,Electronics,71,3.6,Excellent performance and fast processing speed.,Positive
Smartphone,Wearables,1113,4.1,"Great gaming experience, worth the price.",Positive
Wireless Headphones,Photography,1412,2.9,Amazing sound quality! Highly recommended.,Negative
Fitness Tracker,Gaming,744,2.9,Good bass but connectivity issues at times.,Negative
Laptop,Books,92,3.5,Good bass but connectivity issues at times.,Positive
Smartwatch,Books,726,2.3,High-quality images but expensive.,Negative
Fitness Tracker,Electronics,1460,4.1,"Motivating fitness insights, very useful!",Positive
E-Book Reader,Photography,632,4.0,Amazing sound quality! Highly recommended.,Positive
Wireless Headphones,Electronics,1456,3.5,High-quality images but expensive.,Positive
Smartwatch,Photography,1339,3.1,High-quality images but expensive.,Positive
E-Book Reader,Electronics,493,1.9,Excellent performance and fast processing speed.,Negative
Smartphone,Computers,180,3.2,Perfect for reading and entertainment.,Positive
Digital Camera,Photography,52,4.6,Excellent performance and fast processing speed.,Positive
Smartphone,Computers,752,2.0,High-quality images but expensive.,Negative
Smartphone,Books,894,3.0,Amazing sound quality! Highly recommended.,Positive
Bluetooth Speaker,Computers,724,2.6,Battery life is short but performance is great.,Negative
Wireless Headphones,Wearables,867,5.0,Battery life is short but performance is great.,Positive
Bluetooth Speaker,Electronics,115,4.4,"Great gaming experience, worth the price.",Positive
