author,comment,likes,published_at,total_replies
@SnigdhoDas-w7y,Power of Family 😂.,0,2025-01-17T08:33:09Z,0
@Ally.Cat.252,Remember when his team/family couldn’t even steal dvd players from a simple truck.,5,2025-01-16T19:55:50Z,1
@PlaneSpotterJimmy,05:30 a door sending Hobbs 10 tonne military truck flying is hilarious 😅,0,2025-01-16T13:17:29Z,0
@javiermac381,"Totally idiots. They all pull I'm opposing directions, how to get his car to go in the direction they want?",0,2025-01-16T11:32:28Z,0
@Inside_future_makers99,Dom  will  fight for  her ❤,0,2025-01-15T16:58:43Z,0
@SinShanGenshin,they cant Dom without Brian or Han,0,2025-01-15T10:00:19Z,0
@Wetworks-Specialist,"4:06

Pause?",2,2025-01-15T00:42:14Z,0
@juanin200,"Remember how in the first 2 F&F movies they had these things that attached to the cars and sucked all electric power out of them, killing them in a few seconds? Yeah it's too bad technology took a reversion and they had to use harpoons for this one.",0,2025-01-14T20:57:01Z,0
@johnadrian7121,Fukn cringe crap👎🤮,0,2025-01-14T20:25:56Z,0
@ErikSepp,The genuine fear and panic in Dom's eyes when the last 3 harpoons attach🤣,0,2025-01-13T17:12:42Z,0
@Sarthak-Patil9972,"7:05
 she says dom loves her and is not gonna shoot her but this bitch was ready to trap him and get him caught SMH",2,2025-01-13T09:04:50Z,0
@Savenmi,That's probably 6000 hp if it can do that to the other cars 4:42,1,2025-01-13T01:16:48Z,0
@80PercentAshamedOfU,This is about the point where I finally noped out of the series. Gotta find out who made those door panels,0,2025-01-12T21:36:49Z,0
@MárioRubenMartins4,the biggest mistake of this boring francise is the lost of direction of this and putting that rock guy in it,0,2025-01-12T11:53:29Z,0
@blessingsbteesantos2020,Is that on guys....??? 😂,0,2025-01-12T08:56:25Z,0
@Jakecruz1096,"Dom is literally every occupation in the world. Trained millitary taction, complete martial artist, superhuman strength and durability. He drives so fast, he teleports a quarter mile at a time. Geniues level intellect, with a PHD in Physics, immortal,  has psychic abilities with predicting how things will play out and lastly hes the best on the grill, thats why hes always the one grilling at the end of the movies",0,2025-01-12T03:33:35Z,0
@DexterIgnacio-i1d,Statham,0,2025-01-12T01:34:42Z,0
@DexterIgnacio-i1d,Goodvideo❤😂,0,2025-01-12T01:34:05Z,0
@shivamdas_____,movie name,0,2025-01-11T16:20:48Z,0
@amtrakprime1876,Cipher should be killed I don't even like her,0,2025-01-11T03:16:50Z,0
@prashanthsl2536,My❤❤❤❤❤❤❤ beauty love 💕😘💕💕💕😘😘💕💕💕 my hero love Dom 🎉❤❤❤❤❤❤,0,2025-01-10T20:52:46Z,0
@Plafent-bruh,3:52  Deckard was cold,1,2025-01-10T08:31:00Z,0
@guillermoramirez611,LAME MOVIE,0,2025-01-10T00:32:32Z,0
@Henrygomez200,1:35 😂😂😂roman making fun of llitle nobody kills me everytime,4,2025-01-09T09:50:18Z,0
@CASHLEYXII,"Lol I love how all The skill sets of each person get inflated with every film. (Vin) Dom was a mechanic who street races and steals from semi trucks. Now he's a master martial artist, nuclear weapon stealing, military grade weapons expert with CIA level spy training. And Luda ( Tej) is even worse. Another low level mechanic street racer who by fast 9 is one of the best computer hackers, vault hackers, jet fuel burning rocket scientist, engineers that knows how to make a car fly in outer space.... they went to the writers room after every film and asked how much more bullshit can we fit into another movie... the writers all just said \"YES\" we can do it all baby. Letty will be turning into Superwoman with a cape before it's all over with to keep up with everyone's growing powers. Hahaha.",0,2025-01-09T01:35:55Z,0
@DrinkingBangss,Soo how come the army of cars driving them selfs  didnt help out,0,2025-01-09T01:14:29Z,0
@texster007,"I mean instead of aiming at the doors, aim at his tyres?",0,2025-01-09T01:08:17Z,0
@khang.ngtr487,04:51 they're actually doing Dom a favor by stretching him in every direction 😅,0,2025-01-08T12:34:45Z,0
@Jimbo4455,"If they just box Dom in with their vehicles, rather than playing tug o war with him. The outcome would be different",0,2025-01-08T06:04:44Z,0
@ayrasazkia,One word for this film..*AWESOME*,0,2025-01-08T03:08:19Z,0
@Bowser_1094,Everything has one solution-NOS,0,2025-01-07T21:57:17Z,0
@ahmedayub1792,Dom and his crew are doing all this without any masks or any bulletproof vests as if they have a license to do whatever they want free from the law and police,0,2025-01-07T06:59:41Z,0
@Kishiiknight,5:30 he just hits the door with his shoulder and it goes flying 😂 dom is such a ridiculous character,1,2025-01-07T03:42:16Z,0
@MrProfGenius,I want to see in Disney cars version 😆,0,2025-01-07T03:35:45Z,0
@ChrisJ2316,What a shitty movie 😂😂😂😂,0,2025-01-07T01:48:59Z,2
@tofuchaeng06,7 years from now I'm still wondering how a single car door knocks out Hobbs' SUV,0,2025-01-07T00:41:03Z,0
@mahern4541,Only brian can ever have a chance at beating dome. And only han can ever tail dome without being smoked. Sad to see this scene could have been made a whole lot better featuring each skillset of the team,0,2025-01-06T11:13:10Z,0
@nottoday4265,Imagine being Scott Eastwood - your dad is one of the most badass actors alive and your peak acting achievement to date is being in a Fast & Furious movie in which you have the gayest car out of everyone.,0,2025-01-06T06:22:45Z,0
@niomoo5028,HAHAHA!,0,2025-01-06T03:39:37Z,0
@magicapricot,Latinos are single handedly keeping this franchise alice,0,2025-01-05T16:35:20Z,0
@PoMu4,"Damn, I’d love this as a kid.",0,2025-01-05T16:06:15Z,0
@jethawk015,4:06 biggest ⏸️ in history,0,2025-01-05T06:28:53Z,0
@randomlyentertaining8287,"If nothing else, at least Fast and Furious keeps Michelle Rodriguez in the spotlight.  Best Latina in cinema.",0,2025-01-05T00:22:27Z,0
@imamprast,konyol,0,2025-01-04T08:18:54Z,0
@Isiauwuehrifi,It just occurred to me that Letty got Elena killed😆dom planned out everything,0,2025-01-04T01:04:09Z,0
@FunBotEarth,HEYYY BROKEN!!!,0,2025-01-03T12:22:19Z,0
@shivramkarthik2882,"NGL, this shot 4:42 and this shot 4:49 looks 🔥🔥🔥🔥🔥",1,2025-01-02T12:51:00Z,0
@beruangfilm,the Fate of never ending franchise too? 😳,0,2024-12-31T23:51:41Z,0
@younggod2525,Let’s say everything in this movie obey the laws of physics but how the fuck they never run outta gas after all those stunts and continuous over speeding drives etc etc😂😂😂,0,2024-12-31T11:56:44Z,0
@mikesaunders8271,God I miss the first movie,0,2024-12-31T05:03:06Z,1
@markkumanninen6524,"I only know this franchise's name. 'tseems the Vin Diesel character is a bad guy, isn't he? Where are the cops?",0,2024-12-30T15:39:45Z,0
@Rezza275,Only Brian can outrace Dom in this.,0,2024-12-30T13:40:45Z,0
@carguy792,This is why i stopped watching fast and furious after fast 6 . It got more like james bond than owt else. The realism left the building.,0,2024-12-30T11:36:41Z,0
@quanthomas976,"U all can bad mouth the series all you want but I still enjoy it a lot 
Movies 1 through 10",0,2024-12-30T02:45:06Z,1
@raulbetancourt5795,The mechanics of that franchise must be making a fortune.,0,2024-12-29T13:56:23Z,0
@AliNaimov521,❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😮😮😮😮😮😮😮😮😮😮😮🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉👉🫵👈😉👍🙏☝️,1,2024-12-29T03:30:11Z,1
@Greaser_media,WACK!!! COUUGH!!,0,2024-12-28T17:09:14Z,0
@Matt-i2c,I love how Letty comes out of no where and takes the case and Dom says “LETTY STOPPP”,1,2024-12-28T15:48:09Z,0
@spacedeleteent,Just 3 gears?,0,2024-12-28T03:00:36Z,0
@AlidaMitabato,J'ai bien le film,0,2024-12-27T14:46:06Z,0
@Ahm5d531,Why no went for the tires when hooking? FF became too fake at this point,0,2024-12-27T13:32:26Z,0
@youngtrappermoose1135,Me running from the GTA lobby when I have a bounty on me,1,2024-12-27T13:16:56Z,0
@stevenpierrel4800,De pire en pire cette saga 😂😂😂 🤦‍♂️ .,0,2024-12-27T04:24:20Z,0
@THE666OFTHEBEAST,where is paul walker ? aa he is dead,0,2024-12-26T21:52:40Z,0
@JustinFronczek-e2l,❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-12-25T23:18:38Z,0
@thebutcher1412,This movie is pure cringe. What’s a shame,0,2024-12-25T13:56:19Z,0
@habibi3252,MOVIE NAME PLZZ,0,2024-12-25T01:54:09Z,0
@shafkatahmed7907,dumbest dumb fk i have ever seen,0,2024-12-24T14:20:39Z,0
@kartarbhogal,"As someone who's never seen a single F&F film, wtf did I just watch?",0,2024-12-24T14:19:02Z,0
@rupeshkumarpanda2471,"Vin Diesel only drives Diesel vehicle but never deives petrol vehicles 
His mother was also very sexy and hot at her time I always put less hot diesel in her whole to smoothen it",0,2024-12-23T05:43:43Z,0
@JimMilton-1911,Dom's love for family is so strong he can clean his car at will.,0,2024-12-21T17:30:01Z,0
@LaughOutFrikinLoud,5:00 did he just use NOS… to go in reverse?!!!!!?,1,2024-12-21T06:38:43Z,0
@ImJustGlitch,Brian (POV): Dom… why are you doing this…,0,2024-12-21T05:28:45Z,0
@leetyler1454,If Brian was there he would have stopped him,0,2024-12-21T00:39:53Z,0
@fazrulazlan8382,"I don’t understand, they could just ram dom’s car and pin him instead of stretching the cable",0,2024-12-20T23:33:44Z,0
@yakatsusensei325,This movie is so dogwater,0,2024-12-19T14:30:07Z,0
@TatianeCardoso-d9n,Isu♥️♥️,0,2024-12-19T00:02:48Z,0
@itsmehere1,2:15 Why didn't they just follow him after he destroyed a path through the scaffolding? 😂,1,2024-12-18T18:57:28Z,0
@KaarelMaaler,How did this franchise become so stupid from streetrace???,0,2024-12-17T20:47:12Z,0
@Jhocey,"At this point, I’m no longer watch the movies for the plot but to just shut off my brain for a good two hours and enjoy the cars and some good lines here and there",0,2024-12-17T19:29:23Z,0
@TJ_Moneyy,2:34 “Big Sexy Comin Through!”😂😂😂😂,2,2024-12-17T00:40:13Z,0
@Reaper-b4s,I forgot hot stupid this series got,0,2024-12-16T20:22:52Z,0
@VasifMemmedov-s9e,😮😮❤😅😂😊❤😅😂😊😂😅😊🎉😊😂😢,0,2024-12-16T08:40:47Z,0
@15..-je8en,เพื่อนบ้า้ดียวเอาไม้ราก ...จะบอกให้ใช้อาทิตย์ กาเลกชีหลายใบรากไม่ได้,0,2024-12-16T08:31:50Z,0
@georgevarghese2685,Ths gta 5 bad sport lobbies,0,2024-12-16T05:37:07Z,0
@joewas2225,The last good Fast movie,2,2024-12-15T23:52:54Z,0
@Gibren,Why not just take out one of the wheels? Unless the wheels are bulletproof,0,2024-12-15T10:46:56Z,0
@RavenEffect341,This movie is just hot garbage. “2000hp.”  GTFO with the crap.,0,2024-12-15T02:25:29Z,0
@stlncpcr,5:41 XDDDD,1,2024-12-14T08:42:42Z,0
@fieriawatyadhitio9680,No no no no! This Is My Bentley! XD 😂😂😂,0,2024-12-14T04:47:42Z,0
@Flame_edits-b8p,So that’s why it’s call fast and furious because there fast and furious,0,2024-12-14T00:25:40Z,0
@MohammadYusufMinai,This movie has all the Baldies who look better than any male with hairs,0,2024-12-13T08:51:10Z,0
@Existentialprophet,You know when you’re driving and you have to make facial expressions like you’re sprinting and maxing at the gym 😂,0,2024-12-12T12:40:33Z,0
@miskeen8701,what a shit movie,1,2024-12-12T05:58:41Z,0
@AnwarHullhaq-xq2kn,Once my dream un breakable unstoppable time race of death play,0,2024-12-11T21:39:50Z,0
@AlesavilaGomez,Izquierda,0,2024-12-11T19:47:15Z,0
@AllLivingLegend,The comments are the real MVP here.,2,2024-12-11T14:27:56Z,0
@JaylonHayling-x6q,"1:33 now i know what it looks like when the cops are chasing us
           😂😂😂 -Tej",1,2024-12-11T13:08:35Z,0
@onesadtech,"Try several tons of depleted uranium in that thing. 😂 5000hp ain't gonna do much in this situation without weight/traction, and realistically probably different gearing as well. I do LOVE these movies though.",0,2024-12-10T20:46:33Z,0
@zacheryboodhai2002,0:39 Dwayne Johnson The Rock love this dude.,1,2024-12-10T15:58:07Z,0
@lunxo999,God these movies are so dumb 💀,1,2024-12-09T17:52:03Z,0
@revanthvuppu,"There was a time when i loved these car stunts from FF franchise, they overdid  in the last few movies and now everything seems silly to me.",0,2024-12-09T14:15:54Z,0
@dynagaming2693,Leave it to the NYPD to show up 20 minutes late.,0,2024-12-09T03:12:18Z,0
@irishbob26,Never thought I've ever say this but whoever wrote this plays too many video games,0,2024-12-08T19:44:28Z,0
@chewingcum8285,This scene is so retarted it gives me migraines to see it,0,2024-12-08T18:07:16Z,0
@rameshmadara1,A 67' corvette ?? Lol,0,2024-12-08T17:05:08Z,0
@jipangmaut3896,dominic shoots lee xmas,0,2024-12-08T16:13:06Z,0
@Camzbricker,Dom is smart he picked the one day ever where there is zero traffic jams(I’m a pinned comment by default ),0,2024-12-07T17:52:43Z,0
@PebblePuller,This is so dumb 😭,2,2024-12-07T17:30:45Z,0
@ShitILike94MFs,"Try 20,000 horsepower lmao god these movies have gotten to stupid, I don’t watch any of them anymore except the original and 2 fast and even then they got some very cringy shit lmao",1,2024-12-07T01:21:55Z,1
@HARIHARABRAMHACABS,7/12/24❤ 9.56pm🎉,0,2024-12-06T16:26:39Z,0
@RicoSez,Net force is zero,0,2024-12-06T16:23:50Z,0
@iiiiooopo1037,بار فورد,0,2024-12-06T13:18:29Z,0
@raheemakhatoon1492,Fate&fact race is life❤❤,0,2024-12-06T03:15:39Z,0
@tabletop6396,The way he escapes the harpoon is awesome🔥,0,2024-12-06T01:03:43Z,0
@brandonllanez8165,GTX 🤤🤤🤤🤤❤️0:44,1,2024-12-05T23:44:49Z,0
@mikeyyanjello,Only a Prime can defeat a Toretto,0,2024-12-05T20:54:24Z,0
@Oblivion0nstandby,Dom’s boss is quite frankly annoying…Dom’s got family to think about and she doesn’t…yeeesh,0,2024-12-05T16:17:19Z,0
@pascualcastelan4621,F&f should be animated at this point cause of all the bs they be doing is crazy,1,2024-12-05T00:19:17Z,0
@mr.random6276,I swear ur Superman if you have Dom’s car,0,2024-12-04T23:57:28Z,0
@juanmartinez-e4b,"After two decades of watching this franchise I can finally conclude that Dom is a Practical Theoretical Quantum Physicist, with sociology degree applied in Family.",123,2024-12-04T23:26:19Z,0
@TheMediocreMountainBiker,Coefficient of friction not found,0,2024-12-04T21:59:00Z,0
@HGFBaNgAA,Probably the cringest scene ever.,0,2024-12-04T09:20:42Z,0
@Shadow-z4f-f8k,Dominic toretto is the ultimate wheelman,0,2024-12-04T06:08:14Z,0
@natangray-zi7sy,Man this is so dumb and cool i love that benz,1,2024-12-04T03:13:03Z,0
@josevilla4594,How the harpoon holding up they would have to go through the chassis to have any type of chance,0,2024-12-04T02:49:55Z,0
@MrBcka,"Vin Diesel looks like to the teenager who wanted this movie. Complete nonsense. I once enjoyed the movie, not now. Screw Dominic!",0,2024-12-04T00:37:06Z,0
@samuraicheems23,"I wonder how differently this all would have been if Paul walker were here 🥲 this could have been completely different, or would Brian have teamed with Dom? or rest of the team",0,2024-12-03T16:20:24Z,0
@markymcdo4372,Action packed Fantasy & Family movie,0,2024-12-03T14:01:59Z,0
@RaniaAshyila,Mdj ndudjf. Oxkdhkkda nLwoSkdirjeksiskaksvdkdbxjfhcbkjskjdkkfkcmjsoakjxjdfjfififffo3orlesldwkdjmkxnxmfjdxkdidididoddfo❤❤😂😂🎉🎉😢😢😮😮😅😅😊😊,0,2024-12-03T12:02:40Z,0
@pastorsleep,whats stronger than family? whatever tree paul walker hit💀,4,2024-12-03T07:35:29Z,0
@user-kd3oo8oe5u,Who needs Sports mode when you have Family mode on transmission,3,2024-12-03T05:29:16Z,0
@LillianPotter-i3d,"alFeo ❤
في إخراج إعادة مع ساحر",0,2024-12-02T15:28:24Z,0
@franklindeleon8299,Enough with these stupid movies lol end it already!!,1,2024-12-02T14:23:45Z,0
@mohamedsebbahi-g9h,bollywood crying,1,2024-12-02T13:58:34Z,0
@VijayGubbala210,I think I will support💪 you and i will,0,2024-12-02T08:52:23Z,0
@jrsanchez4380,No way dom just pushed the door of like that and sent the rock flyin wtf 😭😭🙏🏾,0,2024-12-02T06:41:23Z,0
@Angry-Little-Fish,He's more talented then Jonny sins in all his careers from pizza boy to astronaut 😂,1,2024-12-01T21:02:36Z,0
@grantengle,I think my 1994 Toyota Camry could’ve done that,1,2024-12-01T18:35:37Z,0
@David1rd,Which part is this,1,2024-12-01T11:29:27Z,0
@TechnikF1tness,When dom breaks off the driver door and the rock falls back and flips over lmao wtf,1,2024-11-30T22:09:54Z,0
@TechnikF1tness,Why’s the rock always breathing hard 😂😂😂 like you were driving not running lol,6,2024-11-30T22:01:46Z,1
@irrelevantideology9640,The Bentley is CRAZY. 😂,2,2024-11-30T20:41:10Z,0
@irrelevantideology9640,How did Fast and Furious become this!?!?!? 😭😭😭,0,2024-11-30T20:38:50Z,0
@juiced-rr9ry,Youd have to pay me to watch this shit,1,2024-11-30T16:07:22Z,0
@RestyKiwumulo,Woo  boy,2,2024-11-30T15:52:23Z,0
@DB_1702,The rocks run 😂😂,0,2024-11-30T11:44:47Z,0
@libra9633,"Honestly. I only came here just to skip to the part where Letty says.

Letty: I don’t know why you are doing this. But I know one thing. You Love Me. And you are not gonna shoot me. 


She Molded that truth to him like a Fk’n Beast.",1,2024-11-30T07:46:18Z,0
@professionaImoron,"Homestly i think this is the lsst good fast movie, its no the best, and sure its ridiculous and the physics arent there, but its fun

And its not ridiculous and cliche to the point of being unbearable",1,2024-11-29T20:59:13Z,0
@professionaImoron,What a waste of a beutiful subaru,2,2024-11-29T20:54:27Z,0
@johannestremel3541,these movies are so bad even five cars parked on the street are cgi and it's worse cgi than in some games,1,2024-11-29T08:47:59Z,0
@JIMMY_NEMESIS,"5:30 that Captain America power level right there... 🤣🤣🤣😅😅
one elbow hit on a car door like it was nothing",0,2024-11-29T00:24:22Z,0
@StrawberrymyJamesr,Best furious moment,0,2024-11-28T18:07:32Z,0
@ranaumershamshad,He gotta have family under that hood,10,2024-11-28T12:38:27Z,0
@marioaguirre5736,"Its ridiculous, the big truck of jobs can move only.",0,2024-11-26T05:48:54Z,0
@ans14.88,Best GTX ad,0,2024-11-25T16:03:59Z,0
@reneilmendoza9917,You should write the title of dom vs his family,0,2024-11-24T18:03:16Z,0
@Canyougofaster,@4:06 stretch him out 🥵 hold him uwu 🥺,2,2024-11-23T23:31:42Z,0
@Sultanbukhari-ke2es,assalamualaikum bhai,0,2024-11-23T18:00:11Z,0
@NgabiranoJovulet,Dom's cars are good,0,2024-11-23T12:37:39Z,0
@harisjustin1876,Anyone in 2024 ❤😂,26,2024-11-23T11:22:03Z,4
@chris1995-l8w,5:10 😂😂😂😂😂,0,2024-11-23T08:37:46Z,0
@naufaladryankusmana8128,I actually wonder what their plan here? They successfully corner dom for few second. Why they don't like send other man to get close? I know dom fake shooting shaw in this. Is that the plan or is that just improvisation from both side.,0,2024-11-22T09:25:10Z,0
@Fullerrormode,5:43 High five,1,2024-11-22T03:00:31Z,0
@kostarizo5986,"Where in NYC are they that they're not caught in traffic? Even if they try to maneuver, there is so much traffic in NYC that you'd eventually be stuck bumper to bumper",0,2024-11-21T21:59:04Z,0
@RayanaZaytaeva-ez8id,😊взвущцдц,0,2024-11-21T21:17:17Z,0
@fernandoelectroargueta2749,Ahorita me estoy dando cuenta pero ahora me estoy fijando pero cuando se salió el todo el eje trasero no se mira el cardan  5:45,0,2024-11-19T22:04:14Z,0
@VljackdanielbmzMartinez,Klutch 🌬️,0,2024-11-19T15:21:47Z,0
@VljackdanielbmzMartinez,I'm 42 💎,0,2024-11-19T15:15:57Z,0
@VljackdanielbmzMartinez,I24 I20,0,2024-11-19T15:13:55Z,0
@Userhkmn083,5:32 This is so Funny 😂😂😂,13,2024-11-19T14:20:11Z,3
@DekaSaputra-g3j,salam dri Indonesia,0,2024-11-19T07:23:42Z,0
@ginger_nosoul,He can have a million hp but if you cant put it to the ground its useless.,0,2024-11-17T05:47:46Z,0
@YuriVolzumaru,"\"Now I know how cop feel like when they chasing us\"",0,2024-11-16T11:32:36Z,0
@juan-carlosfrancois8498,0:42 3:03 5:00,1,2024-11-13T15:49:27Z,0
@thememers_dude,when they had him pinned instead of pulling him each to his side it was better if they charged in and boxed him in,0,2024-11-12T21:47:20Z,0
@Dwelleth-king,Dom destroys a shop but no scratch 😂,0,2024-11-12T10:23:26Z,0
@Vinnyography_,they should've crowded him so they care cant move rather than pull his car in multiple directions,0,2024-11-11T23:20:36Z,0
@user-ns8ls3dg2i,"jxgjsfjkskfdl,j",0,2024-11-10T14:55:54Z,0
@takiualabrartoki4,Fast And Furious,0,2024-11-10T08:44:24Z,0
@OfficialPelito,"His car can be compared to
A muscular and jacked man fighting 5 random dudes",0,2024-11-10T03:05:06Z,0
@BaldimoreDoesGamingYT,Blud is ruining the city or town,0,2024-11-08T19:37:59Z,0
@nigeldavid1908,4:46 letty is sweating and the car is sweating too😂,5,2024-11-08T04:11:01Z,0
@MuhammadparhanMuhammadparh-k7g,🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-11-07T20:43:20Z,0
@UTUBE3JC,That red corvette is something else tho. Wow,0,2024-11-07T04:26:34Z,0
@ThomastheE2,"Out of all of Dom’s cars, the Plymouth GTX is by far my personal favorite",0,2024-11-07T04:12:12Z,0
@rodriguezjavier6726,"6:27 lol, the way he is running is hilarious",0,2024-11-06T22:29:57Z,0
@Mb-vlo,Vin Diesel next Avenger 😅,0,2024-11-06T12:11:28Z,0
@BRICKSINSILK,so stupid,0,2024-11-05T22:38:11Z,0
@hackroots02,"This franchise got dumber each time, especially the \"car\" physics.... xD",1,2024-11-05T21:42:20Z,1
@jimcanterak7349,"\"Physics?\"
\"Family.\"",0,2024-11-05T11:43:04Z,0
@douglassmith7999,"The Fast And The Furious
2 Fast 2 Furious
The Fast And The Furious Tokyo Drift
Fast Furious
Fast Five
Fast Furious 6
Furious 7
The Fate Of The Furious
F9
Fast And Furious Presents Hobbs And Shaw
Fast X
Fast Furious 11 April 4 2025",1,2024-11-03T20:41:50Z,0
